Year,Region,R,E_High,E_Low,E_Supp,a_High,a_Low,UCF_Low,A_High,A_Low,A_Supp,F_Low,F_High,F_Env,G_Low,G_High,G_Env,C_Low,C_High,C_Env,B_buyback_High,B_buyback_Low,B_buyback_Supp,B_onfarm_High,B_onfarm_Low,B_onfarm_Supp,B_offfarm_High,B_offfarm_Low,B_offfarm_Supp,D_High,D_Low,D_Supp,P,T_Irrig,T_Env,U
2001,NSW Border Rivers,655,1500,263218,120001,100%,45%,0.00,1500,118517,0,0,0,NA,87032,0,NA,135939,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,33774
2002,NSW Border Rivers,413,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,119900,0,NA,135150,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,264718
2003,NSW Border Rivers,426,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,1315,0,NA,15250,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,149814
2004,NSW Border Rivers,601,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,23927,0,NA,128840,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,242369
2005,NSW Border Rivers,505,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,8940,0,NA,127262,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,264981
2006,NSW Border Rivers,545,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,98602,0,NA,118059,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,264718
2007,NSW Border Rivers,312,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,10780,0,NA,19457,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,207398
2008,NSW Border Rivers,482,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,0,0,NA,65997,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,251834
2009,NSW Border Rivers,588,1500,263218,120001,100%,100%,0.00,1500,263218,0,0,0,NA,0,0,NA,78881,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,290472
2010,NSW Border Rivers,459,1500,263218,120001,100%,17%,0.00,1500,45272,37782,0,0,NA,0,1008,NA,53127,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,256,0,0,108311
2011,NSW Border Rivers,716,1500,263218,120001,100%,104%,0.00,1500,272860,94176,36118,0,NA,0,123,NA,28362,0,NA,0,0,0,0,269,0,0,0,0,0%,0%,0%,79,-23300,0,127814
2012,NSW Border Rivers,772,1500,263218,120001,100%,40%,0.00,1500,104440,62186,56099,0,NA,98,427,NA,209486,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,135,-26112,0,82211
2013,NSW Border Rivers,505,1500,263218,120001,100%,59%,0.00,1500,155884,39117,101912,0,NA,0,59,NA,211427,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,173,-22327,0,94600
2014,NSW Border Rivers,354,1500,263218,120001,100%,12%,0.00,1500,32299,7792,148,0,NA,0,50,NA,187734,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,206,-25578,0,166291
2015,NSW Border Rivers,537,1500,263218,120001,100%,10%,0.00,1500,25466,1843,291,0,NA,0,50,NA,35205,-9,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,234,-1102,0,37813
2016,NSW Border Rivers,417,1500,263218,120001,100%,31%,0.00,1500,82210,41117,188,0,NA,0,126,NA,24344,-1,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,256,-8761,0,88949
2017,NSW Border Rivers,636,1500,263218,120001,100%,105%,0.00,1500,277535,112469,65776,0,NA,0,69,NA,50053,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,142,-9893,0,154330
2018,NSW Border Rivers,399,1500,263218,120001,100%,23%,0.00,1500,59369,8902,13718,0,NA,0,53,NA,209585,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,200,0,0,123786
2019,NSW Border Rivers,326,1500,263218,120001,100%,33%,0.00,1500,86336,0,45,0,NA,0,46,NA,140469,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,412,0,0,222291
2020,NSW Border Rivers,389,1500,263218,120001,100%,0%,0.00,1500,0,0,2,0,NA,0,95,NA,3543,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,0,0,0,2100
2021,NSW Border Rivers,636,1500,263218,120001,100%,100%,0.00,1500,263218,0,2838,0,NA,0,0,NA,2838,0,NA,0,0,0,0,2806,1437,0,0,0,0%,1%,1%,250,0,0,237907
2001,NSW Gwydir,655,20200,509665,181397,100%,45%,0.00,20200,227311,0,0,0,NA,0,0,NA,582037,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,346386
2002,NSW Gwydir,311,20200,509665,181397,100%,29%,0.00,20200,146274,0,0,0,NA,0,0,NA,483162,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,369830
2003,NSW Gwydir,338,20200,509665,181397,100%,0%,0.00,20200,0,0,0,0,NA,0,0,NA,279806,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,297967
2004,NSW Gwydir,590,20200,509665,181397,100%,31%,0.00,20200,156467,0,0,0,NA,0,0,NA,2039,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,56929
2005,NSW Gwydir,539,20200,509665,181397,100%,5%,0.00,20220,23445,0,72,0,NA,0,0,NA,121777,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,354,0,0,36823
2006,NSW Gwydir,457,20200,509665,181397,100%,22%,0.00,20200,112126,0,83,0,NA,0,0,NA,128547,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,327,0,0,146576
2007,NSW Gwydir,327,20200,509665,181397,100%,0%,0.00,20220,0,434,89,0,NA,0,143,NA,114214,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,250,0,0,131236
2008,NSW Gwydir,497,20200,509665,181397,100%,24%,0.00,20220,124358,42725,59,0,NA,0,173,NA,3405,-4,NA,0,2916,0,0,0,0,0,0,0,0%,1%,0%,317,0,0,81782
2009,NSW Gwydir,586,20200,509665,181397,100%,0%,0.00,20220,0,0,37,0,NA,0,0,NA,108598,-16,NA,0,70538,16324,0,0,0,0,0,0,0%,14%,9%,326,0,0,83880
2010,NSW Gwydir,409,20200,509665,181397,100%,0%,0.00,20200,0,5526,168,404,NA,10,59,NA,34662,-4,NA,0,88520,19100,375,0,0,0,0,0,2%,17%,11%,317,0,0,49371
2011,NSW Gwydir,567,20200,509665,181397,100%,83%,0.00,20200,422512,137440,947,10,NA,0,89,NA,4169,-11,NA,0,88520,19100,375,1005,0,0,0,0,2%,18%,11%,283,0,0,211288
2012,NSW Gwydir,882,20200,509665,181397,100%,99%,0.00,20200,502530,107204,209017,0,NA,0,8104,NA,342515,0,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,235,0,0,3289
2013,NSW Gwydir,404,20200,509665,181397,100%,17%,0.00,20200,87153,116718,199655,0,NA,0,147,NA,758822,0,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,106,0,0,196430
2014,NSW Gwydir,284,20200,509665,181397,100%,0%,0.00,20200,0,8123,20860,0,NA,0,1269,NA,552558,0,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,267,0,10000,330089
2015,NSW Gwydir,444,20200,509665,181397,100%,0%,0.00,20200,0,5399,0,0,NA,0,15,NA,169987,0,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,262,0,0,126234
2016,NSW Gwydir,368,20200,509665,181397,100%,5%,0.00,20200,27012,29227,0,0,NA,0,12,NA,41688,0,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,293,0,0,67733
2017,NSW Gwydir,507,20200,509665,181397,100%,79%,0.00,20200,400087,177411,11,50,NA,0,0,NA,37031,-15,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,304,0,0,282713
2018,NSW Gwydir,355,20200,509665,181397,100%,18%,0.00,20200,89701,8862,16,0,NA,0,1,NA,304089,-11,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,257,0,6700,263751
2019,NSW Gwydir,242,20200,509665,181397,100%,0%,0.00,20200,0,0,0,0,NA,0,518,NA,110521,-9,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,0,0,0,95355
2020,NSW Gwydir,426,20200,509665,181397,100%,2%,0.00,20200,11060,0,0,0,NA,0,73,NA,13387,-1,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,0,0,0,13064
2021,NSW Gwydir,657,20200,509665,181397,100%,58%,0.00,20200,295606,0,0,0,NA,0,0,NA,27565,0,NA,0,88520,19100,4508,1005,1351,0,0,0,22%,18%,11%,219,0,0,43894
2001,NSW Lachlan,369,27680,592801,0,100%,84%,0.00,27680,497953,0,0,0,NA,0,0,NA,92974,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,618607
2002,NSW Lachlan,302,27680,592801,0,0%,0%,0.00,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,0
2003,NSW Lachlan,223,27680,592801,0,100%,3%,0.00,27680,17784,0,0,0,NA,0,0,NA,162705,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,202358
2004,NSW Lachlan,273,27680,592801,0,70%,0%,0.00,19376,0,0,0,0,NA,0,0,NA,5811,0,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,0,0,0,23130
2005,NSW Lachlan,279,27680,592801,0,30%,0%,0.00,8304,0,0,0,0,NA,0,0,NA,2106,-49,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,465,0,0,7767
2006,NSW Lachlan,309,27680,592801,0,100%,19%,0.00,27680,113225,0,35,0,NA,0,0,NA,2603,-9,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,128,0,0,85177
2007,NSW Lachlan,208,27680,592801,0,80%,0%,0.00,22144,0,0,375,0,NA,0,1160,NA,58290,-3,NA,0,0,0,0,0,0,0,0,0,0%,0%,0%,312,0,0,37854
